office_id,source_name,kprk_id,ordinal,slug
29256,Pulauburung,29200,118,pulauburung-29256
29271,Kualaenok,29200,119,kualaenok-29271
29273,Pulaukijang,29200,120,pulaukijang-29273
29274,Kotabaruseberida,29200,121,kotabaruseberida-29274
29281,Sapat,29200,122,sapat-29281
29282,Kualalahang,29200,123,kualalahang-29282
29300,Rengat,29300,124,rengat-29300
29361,Baserah,29300,125,baserah-29361
29400,Batam,29400,126,batam-29400
29662,Tanjungbatu,29400,127,tanjungbatu-29662
29663,Moro,29400,128,moro-29663
29664,Meral,29400,129,meral-29664
29781,Serasan,29100,130,serasan-29781
29782,Sedanau,29100,131,sedanau-29782
29783,Ranai,29100,132,ranai-29783
29784,Midai,29100,133,midai-29784
29791,Terempa,29100,134,terempa-29791
29792,Letung,29100,135,letung-29792
29871,Dabosingkep,29100,136,dabosingkep-29871
29873,Senayang,29100,137,senayang-29873
29997B1,Palmatak,29100,138,palmatak-29997b1
30000,Palembang,30000,139,palembang-30000
30656,Airsugihankanan,30000,140,airsugihankanan-30656
30662,Indralaya,30000,141,indralaya-30662
30752,Babatsumatera,30000,142,babatsumatera-30752
30773,Airsaleh,30000,143,airsaleh-30773
31100,Prabumulih,31100,144,prabumulih-31100
31171,Gelumbang,31100,145,gelumbang-31171
31211,Pendopo,31100,146,pendopo-31211
31300,Muaraenim,31300,147,muaraenim-31300
31400,Lahat,31400,148,lahat-31400
31500,Pagaralam,31400,149,pagaralam-31500
31592,Muarapinang,31400,150,muarapinang-31592
31600,Lubuklinggau,31600,151,lubuklinggau-31600
31655,Binginteluk,31600,152,binginteluk-31655
31664,Airbeliti,31600,153,airbeliti-31664
32100,Baturaja,32100,154,baturaja-32100
32172,Muaraduakisam,32100,155,muaraduakisam-32172
32182,Belitang,32100,156,belitang-32182
33100,Pangkalpinang,33100,157,pangkalpinang-33100
33172,Baturusa,33100,158,baturusa-33172
33178,Payung,33100,159,payung-33178
33181,Koba,33100,160,koba-33181
33364,Kelapa,33100,161,kelapa-33364
